,날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),PM2.5_MA7,PM2.5_MA30,PM2.5lag,Autumn,Spring,Summer,Winter
1503,2024-02-12,0.40425531914893614,0.7727272727272727,0.5095238095238096,0.2938388625592418,0.48888888888888893,0.24,0.2759643916913947,0.42647058823529416,0.33416149068322976,0.7764423076923066,0.6014492753623187,0.5592286501377409,0.6363636363636364,0,0,0,1
1504,2024-02-13,0.39361702127659576,0.5454545454545454,0.49841269841269853,0.3909952606635072,0.37777777777777777,0.25999999999999995,0.43620178041543034,0.7352941176470589,0.5105590062111801,0.82451923076923,0.6485507246376812,0.5730027548209364,0.7727272727272727,0,0,0,1
1505,2024-02-14,0.2553191489361702,0.36363636363636365,0.31111111111111117,0.44075829383886267,0.2666666666666667,0.24,0.44213649851632053,0.5294117647058824,0.8322981366459626,0.7211538461538467,0.6557971014492754,0.5798898071625344,0.5454545454545454,0,0,0,1
1506,2024-02-15,0.1595744680851064,0.25,0.2984126984126984,0.4241706161137441,0.33333333333333337,0.24,0.4480712166172107,0.5,0.6906832298136645,0.5769230769230766,0.6268115942028984,0.5826446280991734,0.36363636363636365,0,0,0,1
1507,2024-02-16,0.13829787234042554,0.18181818181818182,0.44285714285714284,0.19194312796208537,0.2666666666666667,0.21999999999999997,0.2729970326409496,0.3529411764705883,0.43602484472049685,0.7475961538461569,0.5471014492753623,0.5771349862258952,0.25,0,0,0,1
1508,2024-02-17,0.22340425531914893,0.2727272727272727,0.2682539682539683,0.6161137440758294,0.4444444444444444,0.25999999999999995,0.3264094955489615,0.26470588235294124,0.5130434782608695,0.70673076923077,0.5108695652173914,0.5798898071625344,0.18181818181818182,0,0,0,1
1509,2024-02-18,0.2553191489361702,0.4090909090909091,0.17460317460317465,0.6303317535545025,0.48888888888888893,0.46,0.41246290801186947,0.11764705882352941,0.7490683229813664,0.66826923076923,0.40217391304347827,0.5867768595041322,0.2727272727272727,0,0,0,1
1510,2024-02-19,0.22340425531914893,0.36363636363636365,0.30634920634920637,0.4028436018957347,0.37777777777777777,0.3,0.38130563798219597,0.5882352941176472,0.8260869565217391,0.6814903846153832,0.33695652173913043,0.599173553719008,0.4090909090909091,0,0,0,1
1511,2024-02-20,0.14893617021276595,0.2272727272727273,0.42222222222222217,0.1398104265402844,0.3111111111111111,0.34,0.35014836795252235,0.5441176470588236,0.7937888198757764,0.6947115384615401,0.286231884057971,0.6046831955922864,0.36363636363636365,0,0,0,1
1512,2024-02-21,0.05319148936170213,0.11363636363636365,0.47777777777777786,0.09241706161137445,0.2222222222222222,0.27999999999999997,0.28189910979228494,0.661764705882353,0.8248447204968944,0.6514423076923102,0.2463768115942029,0.5977961432506886,0.2272727272727273,0,0,0,1
