,날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,평균기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),PM10_MA7,PM10_MA30,PM10lag,Autumn,Spring,Summer,Winter
780,2022-02-19,0.2446808510638298,0.36363636363636365,0.3650793650793651,0.40758293838862564,0.33333333333333337,0.2,0.23738872403560835,0.2352941176470588,0.3913043478260869,0.6634615384615401,0.13101903695408731,0.23591022443890278,0.2021276595744681,0,0,0,1
781,2022-02-20,0.23404255319148937,0.3181818181818182,0.5238095238095238,0.09952606635071093,0.33333333333333337,0.2,0.06528189910979229,0.42647058823529416,0.1652173913043478,0.7163461538461533,0.12318029115341544,0.23790523690773066,0.2446808510638298,0,0,0,1
782,2022-02-21,0.2872340425531915,0.3181818181818182,0.39682539682539686,0.33649289099526075,0.33333333333333337,0.2,0.12462908011869438,0.41176470588235303,0.26459627329192537,0.83173076923077,0.1298992161254199,0.2433915211970075,0.23404255319148937,0,0,0,1
783,2022-02-22,0.23404255319148937,0.3181818181818182,0.4285714285714286,0.2417061611374408,0.33333333333333337,0.2,0.11869436201780417,0.3970588235294118,0.1875776397515528,0.8701923076923102,0.12206047032474801,0.2448877805486284,0.2872340425531915,0,0,0,1
784,2022-02-23,0.2127659574468085,0.3181818181818182,0.4285714285714286,0.26540284360189575,0.33333333333333337,0.2,0.08308605341246292,0.3088235294117647,0.1565217391304348,0.8725961538461533,0.12094064949608058,0.2448877805486284,0.23404255319148937,0,0,0,1
785,2022-02-24,0.2553191489361702,0.3181818181818182,0.4285714285714286,0.33649289099526075,0.33333333333333337,0.2,0.13056379821958458,0.3529411764705883,0.16645962732919253,0.8437500000000036,0.12877939529675247,0.24538653366583543,0.2127659574468085,0,0,0,1
786,2022-02-25,0.4148936170212766,0.6363636363636364,0.4285714285714286,0.5497630331753556,0.5555555555555556,0.39999999999999997,0.23145400593471813,0.38235294117647056,0.2720496894409937,0.7932692307692335,0.15117581187010073,0.24189526184538654,0.2553191489361702,0,0,0,1
787,2022-02-26,0.3882978723404255,0.5795454545454546,0.6349206349206349,0.5023696682464456,0.5555555555555556,0.39999999999999997,0.31157270029673595,0.5735294117647058,0.43850931677018623,0.6418269230769269,0.2094064949608062,0.25037406483790525,0.4148936170212766,0,0,0,1
788,2022-02-27,0.3617021276595745,0.5227272727272727,0.5555555555555556,0.28909952606635075,0.5555555555555556,0.39999999999999997,0.28189910979228494,0.5294117647058824,0.2770186335403726,0.6706730769230766,0.2228443449048152,0.25785536159600997,0.3882978723404255,0,0,0,1
789,2022-02-28,0.30851063829787234,0.34090909090909094,0.38095238095238093,0.5497630331753556,0.5555555555555556,0.39999999999999997,0.3738872403560831,0.3382352941176471,0.25217391304347825,0.6802884615384635,0.22508398656215,0.2673316708229426,0.3617021276595745,0,0,0,1
790,2022-03-01,0.32978723404255317,0.5227272727272727,0.46031746031746035,0.4549763033175357,0.5555555555555556,0.39999999999999997,0.4065281899109793,0.3970588235294118,0.28447204968944095,0.49038461538461675,0.23516237402015672,0.27630922693266835,0.30851063829787234,0,1,0,0
791,2022-03-02,0.30851063829787234,0.5227272727272727,0.39682539682539686,0.40758293838862564,0.5555555555555556,0.39999999999999997,0.2908011869436202,0.36764705882352944,0.31677018633540366,0.5432692307692335,0.24524076147816343,0.28478802992518704,0.32978723404255317,0,1,0,0
792,2022-03-03,0.3829787234042553,0.4772727272727273,0.5238095238095238,0.4549763033175357,0.5555555555555556,0.39999999999999997,0.31454005934718104,0.3970588235294118,0.36024844720496885,0.6057692307692335,0.2586786114221724,0.286783042394015,0.30851063829787234,0,1,0,0
793,2022-03-04,0.6170212765957447,0.4545454545454546,0.5714285714285715,0.6208530805687205,0.7777777777777777,0.6000000000000001,0.3916913946587538,0.6176470588235295,0.49192546583850927,0.51923076923077,0.30347144456886893,0.3092269326683291,0.3829787234042553,0,1,0,0
794,2022-03-05,0.851063829787234,0.4318181818181818,0.5873015873015873,0.17061611374407584,0.33333333333333337,0.39999999999999997,0.34124629080118696,0.7352941176470589,0.1900621118012422,0.46875,0.309070548712206,0.34214463840399,0.6170212765957447,0,1,0,0
795,2022-03-06,0.2446808510638298,0.20454545454545456,0.5079365079365079,0.17061611374407584,0.33333333333333337,0.39999999999999997,0.23145400593471813,0.27941176470588236,0.2062111801242236,0.6418269230769269,0.29675251959686444,0.34014962593516207,0.851063829787234,0,1,0,0
796,2022-03-07,0.43617021276595747,0.5681818181818182,0.4920634920634921,0.40758293838862564,0.5555555555555556,0.39999999999999997,0.2997032640949555,0.2941176470588236,0.4484472049689441,0.64423076923077,0.31019036954087337,0.3521197007481296,0.2446808510638298,0,1,0,0
797,2022-03-08,0.5425531914893617,0.5909090909090909,0.4920634920634921,0.5971563981042655,0.5555555555555556,0.6000000000000001,0.3679525222551929,0.2941176470588236,0.26086956521739124,0.6057692307692335,0.33258678611422166,0.3695760598503741,0.43617021276595747,0,1,0,0
